ISBN;Title;URL;PageCount;Author;Price
978-1-7891-3808-5;Full Stack Development with Spring Boot 2.0 and React;https://www.ozon.ru/product/hands-on-full-stack-development-with-spring-boot-2-0-and-react-157693251/;302;Juha Hinkula;6210
1118808576;Data Structures and Algorithms in Java;https://www.ozon.ru/product/kniga-data-structures-and-algorithms-in-java-498552966/;720;Michael T. Goodrich,Roberto Tamassia,Michael H. Goldwasser;9499
0134685997;Effective Java;https://www.ozon.ru/product/kniga-effective-java-484920649/;416;Joshua Bloch;7799
1260440214;A Beginners Guide, Eighth Edition;https://www.ozon.ru/product/kniga-java-a-beginners-guide-eighth-edition-488398045/;720;Herbert Schildt;5899
